Cells	Sample	Replicate	Normalizer	Gene	CT	Figure	Normalized
BTSC 232	GRD+Ctrl	Rep2	18s	ITGA3	28.329	2J	FALSE
BTSC 232	GRD+Ctrl	Rep3	18s	ITGA3	28.546	2J	FALSE
BTSC 232	GRD+FOSL1	Rep1	18s	ITGA3	27.158	2J	FALSE
BTSC 232	GRD+FOSL1	Rep2	18s	ITGA3	26.981	2J	FALSE
BTSC 232	GRD+FOSL1	Rep3	18s	ITGA3	27.23	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep1	18s	PLAU	29.809	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep2	18s	PLAU	29.471	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep3	18s	PLAU	29.532	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep1	18s	PLAU	29.35	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep2	18s	PLAU	29.543	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep3	18s	PLAU	29.585	2J	FALSE
BTSC 232	GRD+Ctrl	Rep1	18s	PLAU	29.22	2J	FALSE
BTSC 232	GRD+Ctrl	Rep2	18s	PLAU	28.918	2J	FALSE
BTSC 232	GRD+Ctrl	Rep3	18s	PLAU	29.402	2J	FALSE
BTSC 232	GRD+FOSL1	Rep1	18s	PLAU	29.681	2J	FALSE
BTSC 232	GRD+FOSL1	Rep2	18s	PLAU	29.613	2J	FALSE
BTSC 232	GRD+FOSL1	Rep3	18s	PLAU	29.684	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep1	18s	SERPINE1	23.729	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep2	18s	SERPINE1	23.675	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep3	18s	SERPINE1	23.649	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep1	18s	SERPINE1	22.752	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep2	18s	SERPINE1	22.734	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep3	18s	SERPINE1	22.671	2J	FALSE
BTSC 232	GRD+Ctrl	Rep1	18s	SERPINE1	24.647	2J	FALSE
BTSC 232	GRD+Ctrl	Rep2	18s	SERPINE1	24.628	2J	FALSE
BTSC 232	GRD+Ctrl	Rep3	18s	SERPINE1	24.683	2J	FALSE
