Cells	Sample	Replicate	Normalizer	Gene	CT	Figure	Normalized
BTSC 233	Ctrl	Rep1	18s	TNC	1.064	S4C	TRUE
BTSC 233	Ctrl	Rep2	18s	TNC	0.996	S4C	TRUE
BTSC 233	Ctrl	Rep3	18s	TNC	0.94	S4C	TRUE
BTSC 233	GRD	Rep1	18s	TNC	0.831	S4C	TRUE
BTSC 233	GRD	Rep2	18s	TNC	0.788	S4C	TRUE
BTSC 233	GRD	Rep3	18s	TNC	0.898	S4C	TRUE
BTSC 3021	shCtrl	Rep1	18s	ITGA3	1.108	S4G	TRUE
BTSC 3021	shCtrl	Rep2	18s	ITGA3	1.112	S4G	TRUE
BTSC 3021	shCtrl	Rep3	18s	ITGA3	0.78	S4G	TRUE
BTSC 3021	shNF1_1	Rep1	18s	ITGA3	2.353	S4G	TRUE
BTSC 3021	shNF1_1	Rep2	18s	ITGA3	2.184	S4G	TRUE
BTSC 3021	shNF1_1	Rep3	18s	ITGA3	2.306	S4G	TRUE
BTSC 3021	shNF1_5	Rep1	18s	ITGA3	1.965	S4G	TRUE
BTSC 3021	shNF1_5	Rep2	18s	ITGA3	1.644	S4G	TRUE
BTSC 3021	shNF1_5	Rep3	18s	ITGA3	1.867	S4G	TRUE
BTSC 3021	shCtrl	Rep1	18s	ITGA5	0.948	S4G	TRUE
BTSC 3021	shCtrl	Rep2	18s	ITGA5	1.009	S4G	TRUE
BTSC 3021	shCtrl	Rep3	18s	ITGA5	1.043	S4G	TRUE
BTSC 3021	shNF1_1	Rep1	18s	ITGA5	2.221	S4G	TRUE
BTSC 3021	shNF1_1	Rep2	18s	ITGA5	1.676	S4G	TRUE
BTSC 3021	shNF1_1	Rep3	18s	ITGA5	2.062	S4G	TRUE
BTSC 3021	shNF1_5	Rep1	18s	ITGA5	1.236	S4G	TRUE
BTSC 3021	shNF1_5	Rep2	18s	ITGA5	1.801	S4G	TRUE
BTSC 3021	shNF1_5	Rep3	18s	ITGA5	1.859	S4G	TRUE
BTSC 3021	shCtrl	Rep1	18s	PLAU	0.947	S4G	TRUE
BTSC 3021	shCtrl	Rep2	18s	PLAU	1.007	S4G	TRUE
BTSC 3021	shCtrl	Rep3	18s	PLAU	1.046	S4G	TRUE
BTSC 3021	shNF1_1	Rep1	18s	PLAU	1.263	S4G	TRUE
BTSC 3021	shNF1_1	Rep2	18s	PLAU	1.227	S4G	TRUE
BTSC 3021	shNF1_1	Rep3	18s	PLAU	1.307	S4G	TRUE
BTSC 3021	shNF1_5	Rep1	18s	PLAU	0.939	S4G	TRUE
BTSC 3021	shNF1_5	Rep2	18s	PLAU	0.895	S4G	TRUE
BTSC 3021	shNF1_5	Rep3	18s	PLAU	1.076	S4G	TRUE
BTSC 3021	shCtrl	Rep1	18s	SERPINE1	1.102	S4G	TRUE
BTSC 3021	shCtrl	Rep2	18s	SERPINE1	1.114	S4G	TRUE
BTSC 3021	shCtrl	Rep3	18s	SERPINE1	0.784	S4G	TRUE
BTSC 3021	shNF1_1	Rep1	18s	SERPINE1	2.228	S4G	TRUE
BTSC 3021	shNF1_1	Rep2	18s	SERPINE1	2.466	S4G	TRUE
BTSC 3021	shNF1_1	Rep3	18s	SERPINE1	2.597	S4G	TRUE
BTSC 3021	shNF1_5	Rep1	18s	SERPINE1	2.091	S4G	TRUE
BTSC 3021	shNF1_5	Rep2	18s	SERPINE1	2.168	S4G	TRUE
BTSC 3021	shNF1_5	Rep3	18s	SERPINE1	1.96	S4G	TRUE
BTSC 3021	shCtrl	Rep1	18s	TNC	1.012	S4G	TRUE
BTSC 3021	shCtrl	Rep2	18s	TNC	1.027	S4G	TRUE
BTSC 3021	shCtrl	Rep3	18s	TNC	0.961	S4G	TRUE
BTSC 3021	shNF1_1	Rep1	18s	TNC	1.462	S4G	TRUE
BTSC 3021	shNF1_1	Rep2	18s	TNC	1.385	S4G	TRUE
BTSC 3021	shNF1_1	Rep3	18s	TNC	1.422	S4G	TRUE
BTSC 3021	shNF1_5	Rep1	18s	TNC	1.126	S4G	TRUE
BTSC 3021	shNF1_5	Rep2	18s	TNC	1.064	S4G	TRUE
BTSC 3021	shNF1_5	Rep3	18s	TNC	1.256	S4G	TRUE
BTSC 3047	shCtrl	Rep1	18s	ITGA3	1.055	S4G	TRUE
BTSC 3047	shCtrl	Rep2	18s	ITGA3	0.983	S4G	TRUE
BTSC 3047	shCtrl	Rep3	18s	ITGA3	0.963	S4G	TRUE
BTSC 3047	shNF1_4	Rep1	18s	ITGA3	1.658	S4G	TRUE
BTSC 3047	shNF1_4	Rep2	18s	ITGA3	1.538	S4G	TRUE
BTSC 3047	shNF1_4	Rep3	18s	ITGA3	1.5	S4G	TRUE
BTSC 3047	shNF1_5	Rep1	18s	ITGA3	1.126	S4G	TRUE
BTSC 3047	shNF1_5	Rep2	18s	ITGA3	1.12	S4G	TRUE
BTSC 3047	shNF1_5	Rep3	18s	ITGA3	1.163	S4G	TRUE
BTSC 3047	shCtrl	Rep1	18s	ITGA5	0.953	S4G	TRUE
BTSC 3047	shCtrl	Rep2	18s	ITGA5	0.962	S4G	TRUE
BTSC 3047	shCtrl	Rep3	18s	ITGA5	1.085	S4G	TRUE
BTSC 3047	shNF1_4	Rep1	18s	ITGA5	1.5	S4G	TRUE
BTSC 3047	shNF1_4	Rep2	18s	ITGA5	1.141	S4G	TRUE
BTSC 3047	shNF1_4	Rep3	18s	ITGA5	0.893	S4G	TRUE
BTSC 3047	shNF1_5	Rep1	18s	ITGA5	1.128	S4G	TRUE
BTSC 3047	shNF1_5	Rep2	18s	ITGA5	1.16	S4G	TRUE
BTSC 3047	shNF1_5	Rep3	18s	ITGA5	1.065	S4G	TRUE
BTSC 3047	shCtrl	Rep1	18s	PLAU	1.064	S4G	TRUE
BTSC 3047	shCtrl	Rep2	18s	PLAU	0.984	S4G	TRUE
BTSC 3047	shCtrl	Rep3	18s	PLAU	0.952	S4G	TRUE
BTSC 3047	shNF1_4	Rep1	18s	PLAU	1.421	S4G	TRUE
BTSC 3047	shNF1_4	Rep2	18s	PLAU	1.158	S4G	TRUE
BTSC 3047	shNF1_4	Rep3	18s	PLAU	1.021	S4G	TRUE
BTSC 3047	shNF1_5	Rep1	18s	PLAU	1.067	S4G	TRUE
BTSC 3047	shNF1_5	Rep2	18s	PLAU	1.156	S4G	TRUE
BTSC 3047	shNF1_5	Rep3	18s	PLAU	1.375	S4G	TRUE
BTSC 3047	shCtrl	Rep1	18s	SERPINE1	1.066	S4G	TRUE
BTSC 3047	shCtrl	Rep2	18s	SERPINE1	0.898	S4G	TRUE
BTSC 3047	shCtrl	Rep3	18s	SERPINE1	1.036	S4G	TRUE
BTSC 3047	shNF1_4	Rep1	18s	SERPINE1	1.691	S4G	TRUE
BTSC 3047	shNF1_4	Rep2	18s	SERPINE1	1.432	S4G	TRUE
BTSC 3047	shNF1_4	Rep3	18s	SERPINE1	1.503	S4G	TRUE
BTSC 3047	shNF1_5	Rep1	18s	SERPINE1	1.563	S4G	TRUE
BTSC 3047	shNF1_5	Rep2	18s	SERPINE1	1.66	S4G	TRUE
BTSC 3047	shNF1_5	Rep3	18s	SERPINE1	1.804	S4G	TRUE
BTSC 3047	shCtrl	Rep1	18s	TNC	1.039	S4G	TRUE
BTSC 3047	shCtrl	Rep2	18s	TNC	0.971	S4G	TRUE
BTSC 3047	shCtrl	Rep3	18s	TNC	0.99	S4G	TRUE
BTSC 3047	shNF1_4	Rep1	18s	TNC	1.374	S4G	TRUE
BTSC 3047	shNF1_4	Rep2	18s	TNC	1.168	S4G	TRUE
BTSC 3047	shNF1_4	Rep3	18s	TNC	1.29	S4G	TRUE
BTSC 3047	shNF1_5	Rep1	18s	TNC	0.859	S4G	TRUE
BTSC 3047	shNF1_5	Rep2	18s	TNC	0.892	S4G	TRUE
BTSC 3047	shNF1_5	Rep3	18s	TNC	0.945	S4G	TRUE
BTSC 3021	shCtrl_DMSO	Rep1	18s	18s	12.02	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep2	18s	18s	11.748	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep3	18s	18s	12.044	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep1	18s	18s	11.869	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep2	18s	18s	11.942	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep3	18s	18s	11.772	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep1	18s	18s	13.293	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep2	18s	18s	13.298	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep3	18s	18s	13.432	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep1	18s	18s	12.282	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep2	18s	18s	11.971	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep3	18s	18s	12.134	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep1	18s	FOSL1	22.9	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep2	18s	FOSL1	22.927	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep3	18s	FOSL1	22.687	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep1	18s	FOSL1	24.928	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep2	18s	FOSL1	24.827	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep3	18s	FOSL1	24.823	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep1	18s	FOSL1	23.191	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep2	18s	FOSL1	23.101	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep3	18s	FOSL1	23.167	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep1	18s	FOSL1	25.232	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep2	18s	FOSL1	25.193	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep3	18s	FOSL1	25.112	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep1	18s	ITGA3	24.891	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep2	18s	ITGA3	24.743	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep3	18s	ITGA3	24.773	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep1	18s	ITGA3	25.886	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep2	18s	ITGA3	25.732	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep3	18s	ITGA3	25.746	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep1	18s	ITGA3	24.278	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep2	18s	ITGA3	24.078	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep3	18s	ITGA3	24.163	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep1	18s	ITGA3	25.958	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep2	18s	ITGA3	25.766	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep3	18s	ITGA3	25.928	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep1	18s	SERPINE1	18.766	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep2	18s	SERPINE1	18.768	S5B	FALSE
BTSC 3021	shCtrl_DMSO	Rep3	18s	SERPINE1	18.838	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep1	18s	SERPINE1	19.928	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep2	18s	SERPINE1	19.83	S5B	FALSE
BTSC 3021	shCtrl_GDC-0623	Rep3	18s	SERPINE1	19.872	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep1	18s	SERPINE1	19.759	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep2	18s	SERPINE1	19.712	S5B	FALSE
BTSC 3021	shNF1_5_DMSO	Rep3	18s	SERPINE1	19.778	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep1	18s	SERPINE1	20.648	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep2	18s	SERPINE1	20.574	S5B	FALSE
BTSC 3021	shNF1_5_GDC-0623	Rep3	18s	SERPINE1	20.487	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep1	18s	18s	11.646	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep2	18s	18s	11.317	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep3	18s	18s	11.485	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep1	18s	18s	11.943	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep2	18s	18s	11.996	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep3	18s	18s	11.821	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep1	18s	18s	11.825	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep2	18s	18s	11.891	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep3	18s	18s	11.974	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep1	18s	18s	11.973	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep2	18s	18s	11.736	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep3	18s	18s	11.902	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep1	18s	FOSL1	26.948	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep2	18s	FOSL1	27.048	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep3	18s	FOSL1	26.868	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep1	18s	FOSL1	29.857	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep2	18s	FOSL1	29.837	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep3	18s	FOSL1	29.929	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep1	18s	FOSL1	26.479	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep2	18s	FOSL1	26.521	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep3	18s	FOSL1	26.466	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep1	18s	FOSL1	29.814	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep2	18s	FOSL1	29.603	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep3	18s	FOSL1	29.902	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep1	18s	ITGA3	26.922	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep2	18s	ITGA3	26.795	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep3	18s	ITGA3	26.738	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep1	18s	ITGA3	27.279	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep2	18s	ITGA3	27.158	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep3	18s	ITGA3	27.177	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep1	18s	ITGA3	26.464	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep2	18s	ITGA3	26.342	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep3	18s	ITGA3	26.48	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep1	18s	ITGA3	26.933	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep2	18s	ITGA3	26.775	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep3	18s	ITGA3	26.931	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep1	18s	SERPINE1	24.795	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep2	18s	SERPINE1	24.927	S5B	FALSE
BTSC 3047	shCtrl_DMSO	Rep3	18s	SERPINE1	24.871	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep1	18s	SERPINE1	26.501	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep2	18s	SERPINE1	26.336	S5B	FALSE
BTSC 3047	shCtrl_GDC-0623	Rep3	18s	SERPINE1	26.389	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep1	18s	SERPINE1	24.097	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep2	18s	SERPINE1	24.127	S5B	FALSE
BTSC 3047	shNF1_5_DMSO	Rep3	18s	SERPINE1	24.119	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep1	18s	SERPINE1	25.188	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep2	18s	SERPINE1	25.237	S5B	FALSE
BTSC 3047	shNF1_5_GDC-0623	Rep3	18s	SERPINE1	25.265	S5B	FALSE
KSS49_7	Parental	Rep1	Gapdh	Gapdh	18.122	3B	FALSE
KSS49_7	Parental	Rep2	Gapdh	Gapdh	18.01	3B	FALSE
KSS49_7	Parental	Rep3	Gapdh	Gapdh	17.98	3B	FALSE
KSS49_7	Parental	Rep1	Gapdh	Fosl1	32.213	3B	FALSE
KSS49_7	Parental	Rep2	Gapdh	Fosl1	32.656	3B	FALSE
KSS49_7	Parental	Rep3	Gapdh	Fosl1	32.275	3B	FALSE
KSS49_7	Parental	Rep1	Gapdh	Plau	30.955	3B	FALSE
KSS49_7	Parental	Rep2	Gapdh	Plau	30.754	3B	FALSE
KSS49_7	Parental	Rep3	Gapdh	Plau	30.88	3B	FALSE
KSS49_7	Parental	Rep1	Gapdh	Plaur	30.939	3B	FALSE
KSS49_7	Parental	Rep2	Gapdh	Plaur	30.796	3B	FALSE
KSS49_7	Parental	Rep3	Gapdh	Plaur	31.239	3B	FALSE
KSS49_7	Parental	Rep1	Gapdh	Timp1	28.921	3B	FALSE
KSS49_7	Parental	Rep2	Gapdh	Timp1	28.69	3B	FALSE
KSS49_7	Parental	Rep3	Gapdh	Timp1	28.656	3B	FALSE
KSS49_7	Parental	Rep1	Gapdh	Cd44	25.386	3B	FALSE
KSS49_7	Parental	Rep2	Gapdh	Cd44	25.119	3B	FALSE
KSS49_7	Parental	Rep3	Gapdh	Cd44	25.183	3B	FALSE
KSS49_7	shNf1	Rep1	Gapdh	Gapdh	17.406	3B	FALSE
KSS49_7	shNf1	Rep2	Gapdh	Gapdh	17.349	3B	FALSE
KSS49_7	shNf1	Rep3	Gapdh	Gapdh	17.425	3B	FALSE
KSS49_7	shNf1	Rep1	Gapdh	Fosl1	29.831	3B	FALSE
KSS49_7	shNf1	Rep2	Gapdh	Fosl1	29.786	3B	FALSE
KSS49_7	shNf1	Rep3	Gapdh	Fosl1	29.615	3B	FALSE
KSS49_7	shNf1	Rep1	Gapdh	Plau	30.386	3B	FALSE
KSS49_7	shNf1	Rep2	Gapdh	Plau	31.288	3B	FALSE
KSS49_7	shNf1	Rep3	Gapdh	Plau	30.805	3B	FALSE
KSS49_7	shNf1	Rep1	Gapdh	Plaur	29.879	3B	FALSE
KSS49_7	shNf1	Rep2	Gapdh	Plaur	29.758	3B	FALSE
KSS49_7	shNf1	Rep3	Gapdh	Plaur	30.108	3B	FALSE
KSS49_7	shNf1	Rep1	Gapdh	Timp1	26.151	3B	FALSE
KSS49_7	shNf1	Rep2	Gapdh	Timp1	26.15	3B	FALSE
KSS49_7	shNf1	Rep3	Gapdh	Timp1	26.124	3B	FALSE
KSS49_7	shNf1	Rep1	Gapdh	Cd44	23.183	3B	FALSE
KSS49_7	shNf1	Rep2	Gapdh	Cd44	23.102	3B	FALSE
KSS49_7	shNf1	Rep3	Gapdh	Cd44	23.233	3B	FALSE
KSS49_7	sgNf1	Rep1	Gapdh	Gapdh	17.509	3B	FALSE
KSS49_7	sgNf1	Rep2	Gapdh	Gapdh	17.328	3B	FALSE
KSS49_7	sgNf1	Rep3	Gapdh	Gapdh	17.307	3B	FALSE
KSS49_7	sgNf1	Rep1	Gapdh	Fosl1	29.536	3B	FALSE
KSS49_7	sgNf1	Rep2	Gapdh	Fosl1	29.594	3B	FALSE
KSS49_7	sgNf1	Rep3	Gapdh	Fosl1	29.63	3B	FALSE
KSS49_7	sgNf1	Rep1	Gapdh	Plau	30.169	3B	FALSE
KSS49_7	sgNf1	Rep2	Gapdh	Plau	30.223	3B	FALSE
KSS49_7	sgNf1	Rep3	Gapdh	Plau	29.615	3B	FALSE
KSS49_7	sgNf1	Rep1	Gapdh	Plaur	29.958	3B	FALSE
KSS49_7	sgNf1	Rep2	Gapdh	Plaur	30.005	3B	FALSE
KSS49_7	sgNf1	Rep3	Gapdh	Plaur	29.947	3B	FALSE
KSS49_7	sgNf1	Rep1	Gapdh	Timp1	26.068	3B	FALSE
KSS49_7	sgNf1	Rep2	Gapdh	Timp1	26.003	3B	FALSE
KSS49_7	sgNf1	Rep3	Gapdh	Timp1	25.968	3B	FALSE
KSS49_7	sgNf1	Rep1	Gapdh	Cd44	23.599	3B	FALSE
KSS49_7	sgNf1	Rep2	Gapdh	Cd44	23.421	3B	FALSE
KSS49_7	sgNf1	Rep3	Gapdh	Cd44	23.301	3B	FALSE
KSS49_7	KrasG12V	Rep1	Gapdh	Gapdh	16.84	3B	FALSE
KSS49_7	KrasG12V	Rep2	Gapdh	Gapdh	16.8	3B	FALSE
KSS49_7	KrasG12V	Rep3	Gapdh	Gapdh	16.908	3B	FALSE
KSS49_7	KrasG12V	Rep1	Gapdh	Fosl1	28.49	3B	FALSE
KSS49_7	KrasG12V	Rep2	Gapdh	Fosl1	28.753	3B	FALSE
KSS49_7	KrasG12V	Rep3	Gapdh	Fosl1	28.595	3B	FALSE
KSS49_7	KrasG12V	Rep1	Gapdh	Plau	28.455	3B	FALSE
KSS49_7	KrasG12V	Rep2	Gapdh	Plau	28.686	3B	FALSE
KSS49_7	KrasG12V	Rep3	Gapdh	Plau	28.248	3B	FALSE
KSS49_7	KrasG12V	Rep1	Gapdh	Plaur	28.585	3B	FALSE
KSS49_7	KrasG12V	Rep2	Gapdh	Plaur	28.493	3B	FALSE
KSS49_7	KrasG12V	Rep3	Gapdh	Plaur	28.476	3B	FALSE
KSS49_7	KrasG12V	Rep1	Gapdh	Timp1	25.251	3B	FALSE
KSS49_7	KrasG12V	Rep2	Gapdh	Timp1	25.165	3B	FALSE
KSS49_7	KrasG12V	Rep3	Gapdh	Timp1	25.066	3B	FALSE
KSS49_7	KrasG12V	Rep1	Gapdh	Cd44	22.809	3B	FALSE
KSS49_7	KrasG12V	Rep2	Gapdh	Cd44	22.901	3B	FALSE
KSS49_7	KrasG12V	Rep3	Gapdh	Cd44	22.811	3B	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Gapdh	19.093	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Gapdh	18.898	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Gapdh	18.926	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Plau	28.457	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Plau	28.971	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Plau	28.577	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Plaur	26.886	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Plaur	26.835	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Plaur	26.65	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Itga7	26.774	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Itga7	26.728	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Itga7	26.932	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Timp1	25.411	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Timp1	25.331	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Timp1	25.302	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Fn1	23.107	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Fn1	23.082	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Fn1	22.918	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Cyr61	23.493	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Cyr61	23.546	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Cyr61	23.501	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Actn1	22.476	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Actn1	22.833	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Actn1	22.949	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	S100a4	27.093	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	S100a4	27.373	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	S100a4	27.064	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Vim	20.453	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Vim	20.411	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Vim	20.581	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Cd44	22.922	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Cd44	22.67	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Cd44	22.632	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Gapdh	19.931	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Gapdh	20.037	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Gapdh	19.878	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Itga7	29.89	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Itga7	29.926	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Itga7	29.74	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Timp1	32.375	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Timp1	32.311	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Timp1	32.972	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Plau	34.622	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Plau	36.469	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Plau	36.649	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Plaur	31.06	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Plaur	31.11	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Plaur	30.989	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Fn1	31.053	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Fn1	31.109	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Fn1	30.695	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Cyr61	27.618	3E	FALSE
