"NAME"	"X"	"Y"	"FOSL1"	"VDR"	"SP100"	"ELF4"	"BNC2"	"OLIG2"	"SOX11"	"ASCL1"	"SALL2"	"POU3F3"
"BT1160-P1-A01"	0.997969095	1.727664857	0	0.0307920811818417	0.0617492713232037	0	0.0690578829884868	0.320207414942919	0.592959722586606	0.531532820233046	0	0
"BT1160-P1-A02"	-0.002640761	0.874847061	0	0	0.0749154897789538	0	0	0.653893975358879	0.545290702316721	0.545042387783464	0.327762490668092	0
"BT1160-P1-A03"	0.868477895	1.365479903	0	0	0.0959521158817491	0	0	0.318384763196564	0.588533883901582	0.389512170919354	0	0
"BT1160-P1-A04"	1.148959885	1.744540925	0	0	0.0392699326412928	0	0	0.392618966881429	0.390363534739412	0.575347951132882	0	0
"BT1160-P1-A05"	0.62958812	1.025650684	0	0	0.0264130763341133	0	0	0.388549790889567	0.439093387477614	0.125388974927122	0	0
"BT1160-P1-A06"	-0.244503715	1.342548487	0	0	0.056956357277341	0	0	0.808550921216231	0.340527222329953	0.374699769313248	0.0159524919382596	0
"BT1160-P1-A07"	1.513795388	1.608162454	0	0	0.0203519240962435	0	0	0.678860065558947	0.640332166037392	0.678248367044711	0	0
"BT1160-P1-A08"	-0.186685699	1.450656784	0	0	0.109989240101721	0	0	0.730191025206285	0.548940878551793	0	0.413504950618003	0
"BT1160-P1-A09"	0.366832029	1.245925031	0	0.0266273251061624	0.0668984649998846	0	0	0.526492031197016	0.522146303626222	0.255179416258593	0.0421567094753729	0
"BT1160-P1-A10"	0.653169154	1.635309371	0	0.0476066109770928	0.101129166813514	0	0	0.55924324629818	0.638712400333079	0.399559251565017	0	0
"BT1160-P1-A11"	0.896863008	1.200474424	0	0	0.145450059653032	0	0	0	0.671940410872962	0.474736297751314	0	0
"BT1160-P1-A12"	0.178980804	1.468006764	0	0	0.0803373913211992	0	0	0.425553860065559	0.606237238641678	0.268419027202878	0.168600886793759	0
"BT1160-P1-B01"	0.367147456	1.091279359	0	0	0.0437886726502707	0	0	0.453727252175879	0.452325276329748	0.493210719405839	0	0
"BT1160-P1-B02"	0.71944831	1.567889296	0	0	0.0647285314459302	0	0	0.555230586639539	0.498693921315889	0.258559742457134	0.470061064737507	0
"BT1160-P1-B03"	0.483916562	1.277552214	0	0	0.10373455324958	0	0	0.454518480840963	0.533188086737313	0.475980445588277	0	0
"BT1160-P1-B04"	0.520120668	1.21347975	0	0	0.0429265639139699	0	0	0.285068384763197	0.479450648476622	0.0419336507275229	0	0
"BT1160-P1-B05"	1.12124547	1.264616972	0	0	0.111867405562948	0	0	0.523157567537018	0.697696966931685	0	0	0
"BT1160-P1-B06"	0.543657789	1.324761457	0	0	0.116306972320633	0	0	0.622202441505595	0.513146337846624	0.688283710446629	0	0
"BT1160-P1-B07"	0.730945838	1.326905194	0	0	0.0598447147782127	0	0	0.497569797671527	0.696944118083201	0.425592458191279	0	0
"BT1160-P1-B08"	1.399014406	1.684132434	0	0	0.199003433296097	0	0	0.637645529558042	0.741453454549602	0	0	0
"BT1160-P1-B09"	0.35396505	1.259143954	0	0	0.0672063609771349	0	0	0.454066350175201	0.582123261888738	0.373948585713572	0.512447874034779	0
"BT1160-P1-B10"	-0.473905048	0.415894019	0	0	0	0	0	0	0.577218337572861	0.547319413069981	0	0
"BT1160-P1-B11"	-0.192232912	1.180919188	0	0	0.0936546254229339	0	0	0.693088052447157	0.542883867361721	0.512999712359796	0	0
"BT1160-P1-B12"	-0.690901919	1.065379929	0	0.0495484359736039	0.0710213387523978	0	0	0.61082852944501	0.468169322550104	0	0	0
"BT1160-P1-C01"	0.953089981	1.339720031	0	0	0	0	0	0.811122414377755	0.586857084193596	0.316858632138217	0	0
"BT1160-P1-C02"	0.22137395	1.430729225	0	0	0.0762482395090514	0	0	0.489374929354583	0.583628959585705	0.3497933380865	0	0
"BT1160-P1-C04"	-0.115815205	1.436821654	0	0.0493072030941606	0.114098918312352	0	0	0.735079688029841	0.450682697023966	0.338936387622437	0	0
"BT1160-P1-C07"	-0.032120592	1.416068199	0	0.11681253613509	0	0	0	0.694783542443766	0.434199869962472	0.562566092694649	0	0
"BT1160-P1-C08"	1.283755639	1.569927032	0	0	0.0962204252333529	0	0	0.420580422742172	0.563895194314851	0.500933825790005	0	0
"BT1160-P1-C09"	-0.090287762	1.319070804	0	0	0.0290111319135775	0	0	0.602577144794846	0.575564351466344	0	0	0
"BT1160-P1-C10"	0.842602738	1.526023053	0	0.0250503399190574	0	0	0	0.596657058890019	0.546921874821769	0.419993792924945	0	0
"BT1160-P1-C11"	1.378679131	1.879747564	0	0.036675372316035	0.0988873908648684	0	0	0.682180400135639	0.734597967308109	0.452564644317135	0	0
"BT1160-P1-C12"	0.558264049	1.623142329	0	0	0.0856244051019825	0	0	0.537272521758788	0.341975886023247	0.414594660802276	0	0
"BT1160-P1-D01"	-0.117694936	1.259149923	0	0	0.149666768370041	0	0	0.856391997287216	0.590632735236748	0	0.224165668597861	0
"BT1160-P1-D02"	0.191799357	0.70045672	0	0	0.051720659492766	0	0	0.342729173731208	0.7155714236828	0	0	0
"BT1160-P1-D03"	1.481631907	1.899355621	0	0	0.108854423499856	0	0	0.440601333785464	0.715685491690146	0.44648475205726	0	0
"BT1160-P1-D04"	0.893512368	1.218484825	0	0	0.0364387558219105	0	0	0.659489092347688	0.499047532138661	0.450076348643209	0	0
"BT1160-P1-D05"	0.20358959	0.945431336	0	0	0.133304296436169	0	0	0.678407934893184	0.353736297580618	0.337809612222923	0.213785225504651	0
