"zmean_diff"	"TFs"	"p_value"	"p_value_adjusted"	"TFs1"
"MA0513.1_SMAD2::SMAD3::SMAD4"	1.12366298138935	"SMAD2::SMAD3::SMAD4"	0.510756822349614	0.667231455786201	"SMAD2::SMAD3::SMAD4"
"MA0516.1_SP2"	7.44168246337536	"SP2"	0.185243833423203	0.338988715414121	"SP2"
"MA0517.1_STAT1::STAT2"	-4.79957364759475	"STAT1::STAT2"	0.0637734463314481	0.172608369711464	"STAT1::STAT2"
"MA0523.1_TCF7L2"	-0.223572488959857	"TCF7L2"	0.860322876923536	0.928383888085199	"TCF7L2"
"MA0527.1_ZBTB33"	0.237700228478264	"ZBTB33"	0.758532487882299	0.862532463593721	"ZBTB33"
"MA0528.1_ZNF263"	13.0502282792369	"ZNF263"	0.0010266890655225	0.0114651636577752	"ZNF263"
"MA0102.3_CEBPA"	-0.0757893715571253	"CEBPA"	0.895560618118987	0.937101585885845	"CEBPA"
"MA0076.2_ELK4"	-1.09309561387632	"ELK4"	0.636480779769911	0.770579734491472	"ELK4"
"MA0258.2_ESR2"	-1.33615303680606	"ESR2"	0.096529089851186	0.223295133139593	"ESR2"
"MA0148.3_FOXA1"	0.283856250240563	"FOXA1"	0.466315473008748	0.625443898516184	"FOXA1"
"MA0050.2_IRF1"	0.906552125219787	"IRF1"	0.983229218568609	0.985079141755573	"IRF1"
"MA0079.3_SP1"	10.5355714204415	"SP1"	0.0549317696739693	0.154218384426299	"SP1"
"MA0137.3_STAT1"	-2.22629097013249	"STAT1"	0.00893638212670408	0.0429706885241515	"STAT1"
"MA0144.2_STAT3"	-3.29516132422093	"STAT3"	0.0232132802705314	0.0799419108436124	"STAT3"
"MA0140.2_GATA1::TAL1"	-1.35776021490878	"GATA1::TAL1"	0.406877782222994	0.569376958404932	"GATA1::TAL1"
"MA0093.2_USF1"	5.74556880921441	"USF1"	0.164130138144376	0.319770786384733	"USF1"
"MA0095.2_YY1"	11.4866459539975	"YY1"	0.0131537099858025	0.0554132152309641	"YY1"
"MA0593.1_FOXP2"	2.78359386188365	"FOXP2"	0.0677264831507822	0.179019709848851	"FOXP2"
"MA0595.1_SREBF1"	3.13192990019142	"SREBF1"	0.00398760468541289	0.0286094812350258	"SREBF1"
"MA0596.1_SREBF2"	0.776045971753706	"SREBF2"	0.513200335602151	0.667259918616624	"SREBF2"
"MA0597.1_THAP1"	1.63984681534676	"THAP1"	0.176502651451767	0.329666109323134	"THAP1"
"MA0599.1_KLF5"	4.75980023350659	"KLF5"	0.353925239199623	0.517039046940464	"KLF5"
"MA0610.1_DMRT3"	-1.7699529183594	"DMRT3"	0.00702983322693997	0.0382829472117695	"DMRT3"
"MA0612.1_EMX1"	0.518424658139171	"EMX1"	0.96303030138159	0.973802452403756	"EMX1"
"MA0613.1_FOXG1"	3.10625809112532	"FOXG1"	0.0215367193096057	0.0775814954420292	"FOXG1"
"MA0618.1_LBX1"	-3.44299070104143	"LBX1"	0.010273898597728	0.0464380216617306	"LBX1"
"MA0625.1_NFATC3"	0.771024139535179	"NFATC3"	0.656042103278023	0.783877559402214	"NFATC3"
"MA0628.1_POU6F1"	0.437149943785806	"POU6F1"	0.766064030500496	0.86565235446556	"POU6F1"
"MA0630.1_SHOX"	-4.00024492579789	"SHOX"	0.00421134986268855	0.0292850790451573	"SHOX"
"MA0634.1_ALX3"	0.579605038895349	"ALX3"	0.842125412362568	0.923885161135633	"ALX3"
"MA0635.1_BARHL2"	-1.78237478280968	"BARHL2"	0.0707491749694751	0.183334423536284	"BARHL2"
"MA0636.1_BHLHE41"	9.28346679053092	"BHLHE41"	0.0340447302216751	0.10836773281829	"BHLHE41"
"MA0637.1_CENPB"	1.07931005547205	"CENPB"	0.356894209392533	0.517039046940464	"CENPB"
"MA0638.1_CREB3"	-0.15961819401395	"CREB3"	0.948552308317262	0.967823122707454	"CREB3"
"MA0639.1_DBP"	3.98980628326007	"DBP"	0.0144538041566	0.0578152166264001	"DBP"
"MA0154.3_EBF1"	-0.0630364179766656	"EBF1"	0.676285964000715	0.797041155411351	"EBF1"
"MA0598.2_EHF"	-3.88986101181174	"EHF"	0.157996215878719	0.31322056832097	"EHF"
"MA0640.1_ELF3"	-0.881808980296846	"ELF3"	0.727248639023039	0.845029266936795	"ELF3"
"MA0641.1_ELF4"	-1.87922603969622	"ELF4"	0.435111315407028	0.601438270837849	"ELF4"
"MA0136.2_ELF5"	-1.33020804811408	"ELF5"	0.563960581334164	0.708497695504368	"ELF5"
"MA0027.2_EN1"	-3.95833185304875	"EN1"	0.000142230316386475	0.00357156127814926	"EN1"
"MA0642.1_EN2"	0.367463581684886	"EN2"	0.807071474591698	0.890394037388163	"EN2"
"MA0644.1_ESX1"	0.601117088787537	"ESX1"	0.853203483130881	0.928383888085199	"ESX1"
"MA0645.1_ETV6"	-2.64929710707211	"ETV6"	0.382727073587489	0.542318005392803	"ETV6"
"MA0475.2_FLI1"	-3.32722672828974	"FLI1"	0.277030288155579	0.440540626791521	"FLI1"
"MA0042.2_FOXI1"	4.8097672109195	"FOXI1"	0.00734045917626807	0.0383990568588238	"FOXI1"
"MA0033.2_FOXL1"	5.22178378360506	"FOXL1"	0.000961949030687801	0.0114651636577752	"FOXL1"
"MA0157.2_FOXO3"	1.76840858665384	"FOXO3"	0.205797352154539	0.369128584023221	"FOXO3"
"MA0646.1_GCM1"	0.0327435810970325	"GCM1"	0.583046418081538	0.728731905924872	"GCM1"
"MA0647.1_GRHL1"	-2.8237240283718	"GRHL1"	0.0673207588817561	0.178994017732669	"GRHL1"
"MA0648.1_GSC"	1.26683001760825	"GSC"	0.0378131326294745	0.117872661713948	"GSC"
"MA0649.1_HEY2"	1.75630920216387	"HEY2"	0.165712102787335	0.320093463503741	"HEY2"
"MA0131.2_HINFP"	-3.41680569955947	"HINFP"	0.0715436618007057	0.183334423536284	"HINFP"
"MA0043.2_HLF"	1.33381549826282	"HLF"	0.273873051993583	0.440536012459429	"HLF"
"MA0046.2_HNF1A"	2.54993130643535	"HNF1A"	0.0142224474963055	0.0578152166264001	"HNF1A"
"MA0153.2_HNF1B"	-0.13273006068184	"HNF1B"	0.931422307731701	0.961762951107709	"HNF1B"
"MA0650.1_HOXA13"	-0.16231791817952	"HOXA13"	0.471784720865858	0.629046294487811	"HOXA13"
"MA0651.1_HOXC11"	-0.688974179248657	"HOXC11"	0.441987976118263	0.605389591531681	"HOXC11"
