"NAME"	"Richards_DEV_2021"	"Richards_INJ_2021"	"Wang_MES_2017"	"Wang_PN_2017"	"Wang_CL_2017"	"X"	"Y"
"MGH66-P08-H02"	0.253342150944075	0.168991096652258	0.299902180856289	0.238475989697568	0.449145855377489	0.486872742	-0.609165953
"MGH66-P07-C11"	0.643901193757913	0.324301352325688	0.341758626426422	0.327123680013094	0.824680094934401	-0.917705012	-0.96876592
"MGH66-P04-A01"	0.746245842989507	0.114642002149409	0.248460301967185	0.62772002713234	0.551052184702925	-0.625322882	0.984189964
"MGH66-P08-H10"	0.531965341886539	0.192013048300154	0.245148004989732	0.242305781185011	0.58352040506268	-0.436381508	-0.86657607
"MGH66-P08-E11"	0.334603066253913	0.349839488157689	0.342371246814249	0.195472235853661	0.661093176912198	-0.646742647	-1.57148885
"MGH66-P08-D06"	0.435564538532312	0.245189269607744	0.224427685576387	0.354090073983169	0.737009177247943	-0.800704475	-0.711503558
"MGH66-P04-B05"	0.362861376005086	0.116914958208863	0.39640221683572	0.273510230174327	0.400895082775111	-0.584361999	-0.986615523
"MGH66-P08-C02"	0.268459030582118	0.138300935911198	0.405609565731073	0.317232350540676	0.550683767340634	0.533723146	-0.818778767
"MGH66-P06-G01"	0.286556501105621	0.24886283741834	0.311886209151	0.288785348043803	0.494793254976124	-0.868878207	-1.416114047
"MGH66-P08-E02"	0.204979099679909	0.289085977071276	0.401040206803406	0.228471655245117	0.560499450432793	-0.548060461	-1.727929865
"MGH66-P06-A01"	0.241492833278064	0.317154600370698	0.40983057515347	0.21378486754019	0.654597518148169	1.302651735	-2.088657789
"MGH66-P03-D01"	0.243741499851795	0.160727075755866	0.443577164578215	0.272828901163355	0.690201528874878	0.034440994	-1.215802503
"MGH66-P03-E01"	0.238769845167805	0.193728723758445	0.347643404481684	0.216867474219746	0.406444650276196	-0.509892429	-1.1944915
"MGH66-P08-G03"	0.191834697770585	0.224510086429687	0.380284440552711	0.252794242028646	0.379649116536356	-0.394424009	-1.29500856
"MGH66-P04-E01"	0.366860116818954	0.54493208431786	0.609120727149816	0.132594787614482	0.773681643538706	1.542443389	-2.303319125
"MGH66-P05-H07"	0.403447276210177	0.341930854880702	0.32471028899688	0.191308080792427	0.697287581050436	-0.514472881	-1.859669336
"MGH66-P08-H01"	0.49893682590897	0.323678691028682	0.324145478645048	0.235915735958874	0.62152978972974	-1.376152998	-1.794890426
"MGH66-P07-G11"	0.507387300431537	0.284273223229456	0.293151436588834	0.101547530399405	0.731230084557309	-0.618897967	-1.65873181
"MGH66-P04-H11"	0.499717866394632	0.162509196506971	0.280870949171697	0.330486222982709	0.442144144934582	1.714042466	1.665422199
"MGH66-P07-E07"	0.599905906734357	0.469799566071985	0.368540981141676	0.173943967988493	0.749025770401422	0.546206571	-1.657582126
"MGH66-P07-A04"	0.705658121263146	0.155070590726544	0.268823734133483	0.69092407884839	0.345086551947866	0.820059818	1.364332299
"MGH66-P08-G11"	0.543319856530389	0.327472269185538	0.396077053398358	0.0344449996059529	0.70236429951749	-1.029307444	-1.595385827
"MGH66-P08-F11"	0.69310482818545	0.287078601947985	0.189233853040916	0.211280369382921	0.849008274836238	-1.612219324	-1.532778138
"MGH66-P04-D11"	0.553806316772303	0.343456078836662	0.238953903001152	0.357652667459659	0.693343023246572	-0.499443991	-0.925518233
"MGH66-P04-E05"	0.475114052557797	0.39041139224475	0.292605073432331	0.145105934312865	0.691062726260188	-0.803927123	-1.307245263
"MGH66-P06-A12"	0.52011011526937	0.321583666441329	0.279727072299405	0.34309788768115	0.763498645383303	-1.235955785	-1.262732502
"MGH66-P08-G06"	0.510460118800104	0.370039799463376	0.16649287108273	0.154971081867743	0.799498721509812	-0.423517335	-1.783210631
"MGH66-P04-B01"	0.476961596315985	0.358546699829123	0.239509954568527	0.111773100044527	0.691390520168337	-1.07438595	-1.759561053
"MGH66-P08-C11"	0.572004211486083	0.513744302382724	0.387725929197475	0.270249754741548	0.733702189753084	0.155226582	-1.790020498
"MGH66-P04-D10"	0.369593731342996	0.272990294769314	0.351948250667768	0.366202602450082	0.381017400801661	1.212271818	-1.286439583
"MGH66-P04-G02"	0.457714082392516	0.35221418516299	0.283739750898662	0.285491007668444	0.546261973459625	0.438233858	-1.512391714
"MGH66-P08-D02"	0.506337164523876	0.339617052847121	0.255889765310121	0.224130400612231	0.641220566864337	-0.771073354	-1.243490385
"MGH66-P03-A04"	0.605683875687043	0.26050655688089	0.243075267465367	0.338647083917963	0.743790985383597	-0.488297343	-1.097546214
"MGH66-P05-C07"	0.589634768886294	0.233251500126643	0.226224833698478	0.521623076814081	0.355049877185117	-0.059470817	1.449454438
"MGH66-P04-G04"	0.655283376311311	0.168248081699953	0.293231932459845	0.759595041624934	0.348780506087614	-0.689751121	2.09750957
"MGH66-P04-A03"	0.476508802966562	0.247049973028516	0.32174115836625	0.24140409289061	0.589460759857988	0.322617518	-1.488784491
"MGH66-P05-A01"	0.551432514735128	0.272879712210932	0.268161540196192	0.25479505610856	0.674202334704283	0.460364207	0.270031902
"MGH66-P03-A06"	0.553952363782631	0.252651095998185	0.285481400677408	0.272998865398415	0.668566884665899	-0.859191962	-1.799301825
"MGH66-P07-D03"	0.590076143312372	0.302003599341641	0.242663604370154	0.148933969364001	0.669992713574591	-1.021017188	-1.665159879
"MGH66-P05-C08"	0.482400363765108	0.451518310159118	0.284786673565456	0.249936466435772	0.672620078664393	0.9220153	-1.839645664
